Jugador,Mín,Goles_Anotados_S,Tiros_Penales_Intentados_S,xG,npxG,ACG,Regates_intentados_S,Distancia_de_paso_progresiva_P,Cruce_en_el_área_de_penalización_P,Pases_progresivos_P,Pases_Largos_PT,Saques_de_esquina_hacia_adentro_PT,Pases_intentados_Cortos_P,Pases_intentados_Medios_P,Pases_intentados_Largos_P,Intercepciones_D,Barridas_en_la_defensa_D,Robos_intentados_PO,Distancia_de_traslado_progresivo_PO,Robos_intentados_PO,Penal_ejecutado_M,Posicion_adelantada_M
Danilo,976,3,0,1.4000000000000001,1.4000000000000001,6.0,19.0,979.0,0.0,34.0,2.0,0.0,97.0,73.0,34.0,9,7.0,19.0,439.0,19.0,0.0,2
Danny Ings,1481,8,2,7.7,6.1,2.0,30.0,490.0,0.0,20.0,6.0,0.0,161.0,51.0,23.0,4,1.0,30.0,481.0,30.0,0.0,14
Danny Welbeck,1754,6,0,9.0,9.0,9.0,44.0,809.0,0.0,46.0,6.0,0.0,253.0,102.0,11.0,4,0.0,44.0,788.0,44.0,1.0,4
Darko Brasanac,1041,1,0,1.0,1.0,1.0,10.0,1215.0,2.0,49.0,0.0,0.0,179.0,143.0,19.0,12,12.0,10.0,668.0,10.0,0.0,3
David Alaba,1658,1,0,0.8,0.8,4.0,4.0,4809.0,4.0,63.0,4.0,3.0,563.0,336.0,89.0,14,7.0,4.0,1801.0,4.0,0.0,0
David Brooks,118,0,0,0.2,0.2,0.0,2.0,51.0,0.0,4.0,0.0,0.0,18.0,9.0,4.0,1,1.0,2.0,20.0,2.0,0.0,0
David Silva,1918,2,0,3.8,3.8,14.0,46.0,3263.0,2.0,162.0,9.0,1.0,560.0,410.0,93.0,15,10.0,46.0,2314.0,46.0,0.0,3
Declan Rice,3093,3,1,1.9000000000000001,1.1,6.0,60.0,8723.0,3.0,220.0,4.0,15.0,881.0,717.0,308.0,62,44.0,60.0,4454.0,60.0,0.0,1
Dejan Kulusevski,2001,2,0,2.3000000000000003,2.3000000000000003,11.0,107.0,1965.0,11.0,64.0,4.0,5.0,395.0,223.0,50.0,13,23.0,107.0,2422.0,107.0,0.0,3
Demarai Gray,2421,4,2,5.6000000000000005,4.0,5.0,88.0,2145.0,7.0,45.0,2.0,49.0,320.0,249.0,174.0,12,9.0,88.0,2425.0,88.0,0.0,13
Denis Zakaria,411,0,0,0.2,0.2,0.0,8.0,571.0,0.0,6.0,1.0,0.0,98.0,56.0,6.0,3,5.0,8.0,291.0,8.0,0.0,0
Deniz Undav,507,4,0,3.8,3.8,3.0,4.0,243.0,0.0,7.0,1.0,0.0,82.0,30.0,6.0,0,2.0,4.0,278.0,4.0,0.0,6
Dennis Hadzikadunic,539,0,0,0.30000000000000004,0.30000000000000004,0.0,0.0,890.0,0.0,13.0,0.0,0.0,51.0,68.0,37.0,3,4.0,0.0,209.0,0.0,0.0,0
Dennis Praet,649,1,0,1.1,1.1,0.0,14.0,680.0,1.0,17.0,2.0,0.0,138.0,77.0,27.0,5,5.0,14.0,357.0,14.0,0.0,1
Diego Carlos,205,0,0,0.3,0.3,0.0,0.0,881.0,0.0,11.0,0.0,0.0,41.0,71.0,28.0,1,0.0,0.0,193.0,0.0,0.0,0
Diego Costa,1241,1,0,3.4,3.4,1.0,10.0,312.0,0.0,13.0,1.0,0.0,118.0,56.0,5.0,2,3.0,10.0,342.0,10.0,0.0,16
Diego Moreno,635,0,0,0.3,0.3,0.0,10.0,1288.0,1.0,13.0,0.0,0.0,102.0,132.0,63.0,5,2.0,10.0,372.0,10.0,0.0,1
Diego Rico,1556,0,0,0.2,0.2,1.0,27.0,5340.0,10.0,59.0,0.0,0.0,408.0,371.0,116.0,19,16.0,27.0,1219.0,27.0,0.0,1
Dimitri Foulquier,1668,0,0,0.2,0.2,2.0,41.0,4312.0,13.0,67.0,0.0,0.0,360.0,341.0,111.0,14,16.0,41.0,1918.0,41.0,0.0,1
Diogo Dalot,2064,1,0,2.3,2.3,2.0,35.0,6207.0,13.0,92.0,3.0,0.0,503.0,624.0,202.0,35,39.0,35.0,2137.0,35.0,0.0,0
Diogo Jota,1041,5,0,5.5,5.5,5.0,38.0,877.0,2.0,30.0,3.0,0.0,204.0,101.0,19.0,3,8.0,38.0,1060.0,38.0,1.0,3
Domingos Duarte,2644,0,0,1.4000000000000001,1.4000000000000001,3.0,6.0,6506.0,0.0,63.0,0.0,0.0,281.0,441.0,225.0,39,21.0,6.0,1231.0,6.0,0.0,2
Dominic Calvert-Lewin,1165,2,1,5.8,5.0,4.0,28.0,318.0,0.0,15.0,0.0,0.0,125.0,54.0,8.0,3,1.0,28.0,405.0,28.0,1.0,19
Dominic Solanke,2770,6,0,9.2,9.2,13.0,109.0,1061.0,1.0,45.0,3.0,0.0,278.0,134.0,24.0,6,8.0,109.0,1685.0,109.0,0.0,10
Donny van de Beek,167,0,0,0.1,0.1,0.0,3.0,115.0,0.0,6.0,0.0,0.0,34.0,8.0,2.0,1,0.0,3.0,85.0,3.0,0.0,1
Douglas Luiz,2837,5,0,2.6,2.6,11.0,42.0,6331.0,4.0,142.0,6.0,51.0,667.0,751.0,270.0,39,30.0,42.0,2784.0,42.0,0.0,2
Duje Caleta-Car,946,1,0,0.8,0.8,0.0,2.0,3504.0,0.0,33.0,0.0,0.0,173.0,289.0,93.0,15,9.0,2.0,993.0,2.0,0.0,0
Dwight McNeil,2408,7,0,3.6,3.6,11.0,107.0,3443.0,12.0,65.0,3.0,50.0,377.0,257.0,199.0,31,35.0,107.0,2035.0,107.0,1.0,1
Dyego Sousa,400,0,0,0.7000000000000001,0.7000000000000001,1.0,10.0,236.0,0.0,10.0,1.0,0.0,60.0,36.0,4.0,1,3.0,10.0,157.0,10.0,0.0,3
Eberechi Eze,2546,10,1,6.4,5.6000000000000005,15.0,115.0,3785.0,2.0,125.0,9.0,21.0,587.0,332.0,145.0,13,17.0,115.0,2301.0,115.0,1.0,4
Eddie Nketiah,1078,4,0,7.5,7.5,3.0,34.0,349.0,0.0,15.0,0.0,0.0,148.0,68.0,12.0,1,6.0,34.0,599.0,34.0,1.0,8
Eden Hazard,196,0,1,1.0,0.2,1.0,6.0,231.0,0.0,8.0,0.0,0.0,68.0,22.0,4.0,1,0.0,6.0,268.0,6.0,0.0,0
Edinson Cavani,1425,5,3,5.8,3.4,4.0,10.0,524.0,0.0,19.0,4.0,0.0,201.0,94.0,26.0,2,3.0,10.0,315.0,10.0,0.0,15
